sujeto ,time ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
2,1,"8,015469","3,852828","0,981531","2,076174","0,526539","3,086663","6,22448","1,858344","0,653738","0,326989","8,891697","34,462646","7,019345","2,630394","0,564039","5,071781","16,924002","6,951215","1,117848","0,457216","10,74467","2,221931","1,829916","1,572494","0,518486"
2,"1,125","10,103721","3,837456","0,887729","2,342852","0,558187","3,008213","5,63543","1,411538","0,63994","0,33611","7,591707","26,651171","7,068578","2,386868","0,557384","5,202458","14,674254","7,823898","1,075904","0,454169","13,042856","2,2838","1,887838","1,703462","0,529922"
2,"1,25","11,59443","3,444452","0,985955","2,60375","0,588402","2,811085","4,600391","1,107917","0,642992","0,333066","6,434037","19,748281","6,760272","2,187935","0,555345","5,014759","11,904151","7,799917","1,005778","0,450463","14,899199","2,291284","2,026799","1,80445","0,517091"
2,"1,375","12,782516","2,83389","1,24177","2,803774","0,623931","2,584241","3,402213","0,99013","0,672901","0,325515","5,562098","13,670442","5,975354","2,025548","0,550074","4,565144","8,932495","6,964508","0,939249","0,458015","16,093283","2,291811","2,301005","1,883385","0,488107"
2,"1,5","13,662788","2,238051","1,577633","2,864596","0,668424","2,392059","2,362527","1,093436","0,72618","0,325391","4,895533","8,64937","4,813928","1,872526","0,534521","4,015086","6,185642","5,671917","0,894354","0,480482","16,966581","2,316607","2,738709","1,927917","0,45587"
2,"1,625","14,356429","1,853962","1,919124","2,732023","0,71528","2,29935","1,679108","1,393652","0,787724","0,341014","4,303314","5,0579","3,626771","1,711389","0,506865","3,460172","4,064527","4,381845","0,869429","0,510005","17,689077","2,381887","3,272941","1,920414","0,429781"
2,"1,75","14,911765","1,689119","2,256945","2,426973","0,74975","2,285829","1,325099","1,79124","0,842028","0,370724","3,686739","3,174929","2,77793","1,53964","0,472681","3,022093","2,790963","3,478916","0,852002","0,532893","18,483864","2,440286","3,800027","1,861258","0,412938"
2,"1,875","15,004946","1,645733","2,617599","2,034845","0,755602","2,302988","1,143069","2,159636","0,877487","0,402924","3,194215","2,783133","2,42264","1,36903","0,442054","2,734744","2,202467","3,04618","0,828257","0,535932","19,068703","2,432995","4,212314","1,763335","0,403769"
2,2,"14,488474","1,59349","3,000187","1,668355","0,723313","2,282471","1,000695","2,386474","0,882415","0,421494","2,923167","3,197617","2,474344","1,216017","0,421936","2,547619","1,968566","2,866671","0,800973","0,512805","19,065008","2,293781","4,419697","1,65319","0,399285"
2,"2,125","13,077213","1,450973","3,335571","1,409689","0,65627","2,182515","0,863078","2,414623","0,848152","0,414091","2,904492","3,73439","2,737635","1,086947","0,412443","2,478634","1,807705","2,676259","0,784408","0,466327","17,889811","1,994965","4,376666","1,557039","0,397485"
