sujeto ,tiempo,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
2,"1,25","6,175676","12,82653","3,182191","0,722827","0,435285","1,953492","2,564614","0,615293","0,385282","0,35434","3,620643","68,273788","3,977095","1,525432","0,535832","4,318463","5,546076","3,930916","1,075458","0,603923","10,357119","16,638258","2,770784","1,116916","0,535126"
2,"1,375","6,23644","12,053407","3,045545","0,648097","0,390022","1,630776","2,091544","0,503188","0,353758","0,312082","3,732842","51,292042","3,543346","1,344669","0,442612","4,471062","5,40908","3,738285","1,054871","0,498029","10,712357","16,355196","2,7609","1,273508","0,468279"
2,"1,5","6,267557","10,704536","2,748437","0,618897","0,369402","1,329643","1,959605","0,469033","0,350886","0,291959","3,948653","35,363853","2,920861","1,23348","0,36568","4,28942","5,310666","3,689617","1,075773","0,421426","10,898104","15,199876","2,80224","1,49467","0,415099"
2,"1,625","6,367196","9,034788","2,434333","0,618924","0,385399","1,157184","2,242396","0,489081","0,371667","0,299688","4,294147","23,307804","2,408566","1,254067","0,313164","3,854765","5,234409","3,690572","1,099972","0,3924","10,896054","13,252995","2,939121","1,696219","0,396943"
2,"1,75","6,595083","7,423816","2,277466","0,647184","0,437624","1,168004","2,811143","0,521729","0,425692","0,335319","4,806222","16,098433","2,253758","1,457095","0,288044","3,357845","5,328979","3,743396","1,116262","0,419034","10,793077","10,959325","3,232664","1,820959","0,425987"
2,"1,875","6,873674","6,265344","2,359071","0,7239","0,511096","1,361289","3,415791","0,537172","0,546204","0,394738","5,428838","13,226366","2,541779","1,867425","0,289284","2,981737","5,840292","3,880695","1,140005","0,496533","10,587674","8,985303","3,662287","1,863142","0,49797"
2,2,"7,013993","5,852544","2,642762","0,867394","0,584296","1,721897","3,813046","0,536376","0,762889","0,473269","6,100142","13,415063","3,156394","2,443058","0,314376","2,91134","6,980796","4,095563","1,193864","0,607728","10,186573","7,937295","4,114072","1,857958","0,594773"
2,"2,125","6,843191","6,232924","3,040866","1,071899","0,638113","2,200706","3,85918","0,530027","1,070517","0,565597","6,651927","15,232992","3,946024","3,074391","0,360274","3,276157","8,716286","4,334742","1,279026","0,727294","9,418786","8,070345","4,466319","1,851866","0,689551"
2,"2,25","6,268357","7,149658","3,416384","1,301926","0,664861","2,722964","3,532995","0,542619","1,415312","0,662808","6,870804","17,402861","4,771502","3,605348","0,421498","3,98707","10,639165","4,550575","1,362719","0,827757","8,34033","9,106506","4,64405","1,867056","0,757755"
2,"2,375","5,333136","8,067968","3,664534","1,504945","0,669005","3,158955","2,934445","0,626846","1,710754","0,754179","6,638843","18,78396","5,501606","3,892597","0,483681","4,804745","12,075205","4,732386","1,398506","0,886289","6,964664","10,335711","4,674935","1,887371","0,784259"
2,"2,5","4,177124","8,441385","3,747816","1,637805","0,662209","3,381747","2,245995","0,871219","1,875949","0,828795","5,979901","18,569187","5,998858","3,86179","0,532836","5,330176","12,429762","4,899706","1,362192","0,891098","5,495514","10,987021","4,656392","1,881296","0,768018"
2,"2,625","3,055141","8,052879","3,728614","1,679391","0,657357","3,306368","1,668147","1,35746","1,876071","0,876921","5,0902","16,635094","6,25328","3,536957","0,562824","5,308972","11,488777","5,15372","1,28419","0,848504","4,175617","10,688704","4,737729","1,830683","0,722906"
2,"2,75","2,336476","7,027026","3,706116","1,63665","0,662311","2,981044","1,329791","2,08162","1,731663","0,891119","4,249331","13,635678","6,481596","3,035822","0,576161","4,72818","9,496002","5,536318","1,227819","0,778398","3,290734","9,520762","5,011704","1,741028","0,668697"
2,"2,875","2,144711","5,691133","3,757485","1,545625","0,681242","2,52423","1,241791","2,91836","1,510775","0,870581","3,647316","10,530815","6,90362","2,498779","0,581712","3,780263","7,038229","5,992955","1,251788","0,706413","3,038741","7,860417","5,438709","1,638247","0,626231"
2,3,"2,653829","4,401672","3,887305","1,458822","0,714237","2,153292","1,326629","3,655817","1,295279","0,822406","3,394438","8,053807","7,530461","2,040389","0,5891","2,850313","4,733517","6,341038","1,365678","0,653413","3,448137","6,156812","5,850139","1,554496","0,609402"
2,"3,125","3,587766","3,409324","4,036569","1,419474","0,757825","1,993412","1,481055","4,076309","1,137226","0,757822","3,272923","6,535421","8,146338","1,717699","0,60604","2,194466","3,010569","6,395574","1,522087","0,631262","4,268248","4,753911","6,044627","1,499732","0,622351"
2,"3,25","4,508719","2,848152","4,085981","1,438857","0,804648","2,061665","1,631849","4,04538","1,040482","0,687776","3,212288","5,889663","8,411587","1,513447","0,636187","1,974845","1,994945","6,077509","1,640964","0,642282","5,26407","3,846568","5,855333","1,451278","0,657459"
2,"3,375","5,172523","2,708244","3,916687","1,491724","0,842758","2,248718","1,74275","3,578914","0,966501","0,61959","3,192066","5,811243","8,114817","1,362836","0,674389","2,120164","1,566879","5,394685","1,640328","0,683981","6,316433","3,485062","5,243444","1,372466","0,69794"
2,"3,5","5,723429","2,857671","3,486325","1,535704","0,858901","2,394371","1,797717","2,857894","0,88304","0,555925","3,145704","5,868651","7,251","1,209456","0,708371","2,400259","1,471808","4,444499","1,496901","0,751325","7,630354","3,550246","4,31043","1,24186","0,725483"
2,"3,625","6,059442","3,129706","2,86108","1,53975","0,844824","2,39625","1,781841","2,145473","0,818264","0,50377","3,035216","5,707437","6,011571","1,049926","0,724251","2,575396","1,529081","3,435005","1,282258","0,837631","9,154184","3,849537","3,261709","1,073411","0,730931"
2,"3,75","6,547957","3,388814","2,200168","1,490642","0,805928","2,237808","1,686114","1,647398","0,880728","0,489125","2,880879","5,206861","4,694801","0,896686","0,720048","2,566443","1,710679","2,589315","1,112852","0,94253","10,83442","4,223648","2,343277","0,904377","0,720614"
2,"3,875","6,955897","3,620394","1,66358","1,39374","0,767597","2,001681","1,603261","1,445305","1,201263","0,559855","2,823872","4,470332","3,595824","0,774348","0,718818","2,441025","2,025941","2,057575","1,088215","1,075204","12,229703","4,624969","1,721359","0,777102","0,715028"
2,4,"7,546175","3,912975","1,343176","1,270558","0,76146","1,843208","1,645861","1,494606","1,854742","0,766326","3,212611","3,659924","2,860129","0,706849","0,755086","2,355136","2,428493","1,865037","1,254315","1,244808","13,285586","5,088383","1,430493","0,721548","0,734529"
2,"4,125","8,345966","4,327608","1,232216","1,154475","0,807079","1,911206","1,840556","1,665814","2,786579","1,124517","4,375436","2,918613","2,431839","0,707376","0,848913","2,461033","2,833038","1,911257","1,57585","1,449764","14,15134","5,633541","1,389765","0,742926","0,785805"
2,"4,25","9,237297","4,827535","1,270092","1,07804","0,89924","2,221592","2,136381","1,848736","3,802872","1,590129","6,322011","2,334867","2,129543","0,772873","0,992596","2,818994","3,136375","2,013828","1,954138","1,672569","14,791281","6,191962","1,478789","0,828649","0,8563"
2,"4,375","10,041083","5,26111","1,394476","1,052499","1,010007","2,67345","2,418382","1,994117","4,62435","2,065022","8,666973","1,968544","1,792195","0,877225","1,157791","3,338222","3,224833","2,02517","2,273153","1,879889","15,341802","6,584962","1,617034","0,953674","0,922345"
2,"4,5","10,230525","5,412866","1,563959","1,063793","1,103568","3,053096","2,547917","2,11355","5,018986","2,435431","10,682938","1,767861","1,406921","0,988643","1,30566","3,825242","3,045501","1,898665","2,460572","2,033424","15,265672","6,597724","1,7705","1,084279","0,963626"
2,"4,625","10,232392","5,121052","1,736112","1,091133","1,158907","3,204363","2,443532","2,234851","4,922847","2,658786","11,685171","1,654189","1,067194","1,093889","1,406597","4,170604","2,679788","1,680022","2,502025","2,104227","15,018718","6,107836","1,905052","1,192593","0,980748"
2,"4,75","9,287479","4,360542","1,868189","1,109969","1,176541","3,022328","2,138351","2,378531","4,436916","2,802126","11,236865","1,551229","0,830377","1,189027","1,453672","4,194939","2,283367","1,447051","2,428587","2,085696","13,784959","5,121375","1,973866","1,255624","0,994198"
2,"4,875","7,908702","3,283579","1,92291","1,10574","1,174033","2,602043","1,764239","2,527497","3,753027","2,999974","9,507854","1,449103","0,704082","1,275432","1,461575","3,931778","2,020842","1,28599","2,29607","2,001271","11,674353","3,827451","1,9304","1,258877","1,028736"
2,5,"6,027224","2,159445","1,889066","1,091675","1,169517","2,132414","1,445753","2,645112","3,083829","3,360555","7,067695","1,376798","0,67536","1,353931","1,449795","3,384764","1,973863","1,270646","2,151212","1,900764","8,851132","2,507504","1,768837","1,213073","1,094357"
2,"5,125","4,318199","1,266695","1,773594","1,090026","1,169202","1,840511","1,232664","2,681588","2,597664","3,878353","4,675702","1,334355","0,734247","1,424877","1,429056","2,862072","2,076416","1,426693","2,023365","1,840434","6,172388","1,413797","1,529727","1,149796","1,175624"
2,"5,25","3,349483","0,800003","1,609789","1,113784","1,164759","1,857831","1,114801","2,581537","2,368218","4,413322","2,925464","1,280566","0,863543","1,488652","1,399631","2,744795","2,188255","1,703654","1,920455","1,858711","4,628485","0,72173","1,293674","1,097198","1,24143"
