sujeto ,tiempo ,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,4,"21,025743","15,072759","3,651261","0,907752","0,818559","1,722317","2,033026","1,430183","0,370186","0,198307","2,961204","7,654783","2,21504","1,410003","0,351408","7,424935","7,986668","2,091102","0,856694","0,413853","22,288979","17,448347","4,165618","1,218394","0,559833"
1,"4,125","25,765097","17,656063","2,547379","0,819448","0,850933","1,535325","2,002383","0,999066","0,42193","0,201004","3,048788","7,59878","2,980467","1,394958","0,31347","6,263264","7,048318","1,59064","0,96357","0,391993","23,606911","16,761303","2,973257","1,090635","0,678614"
1,"4,25","31,873306","19,387211","1,739644","0,746996","0,851381","1,345097","1,950617","0,652409","0,445847","0,205005","3,197732","7,719602","3,800249","1,361865","0,276839","4,659606","5,815184","1,13766","1,050593","0,391282","25,777355","15,331396","2,061818","0,938898","0,765624"
1,"4,375","36,977726","19,681067","1,342456","0,728117","0,819922","1,195853","1,896205","0,449099","0,43314","0,211646","3,16467","7,679891","4,477487","1,315209","0,247302","3,058953","4,671903","0,879756","1,10922","0,415764","27,682106","13,442871","1,641461","0,807151","0,802427"
1,"4,5","38,786152","18,220041","1,303773","0,785697","0,762829","1,102559","1,829227","0,380637","0,387249","0,220059","2,896302","7,196401","4,785798","1,249096","0,226941","1,831465","3,819679","0,88527","1,141369","0,462475","28,131052","11,252143","1,691126","0,740328","0,78531"
1,"4,625","36,080753","15,187432","1,500897","0,913567","0,69094","1,065605","1,745089","0,41536","0,322833","0,228472","2,71099","6,339456","4,722088","1,158898","0,214912","1,380551","3,338994","1,159923","1,15663","0,523745","26,267687","8,895932","2,062791","0,762393","0,72693"
1,"4,75","28,980196","11,244991","1,863229","1,077393","0,614354","1,067031","1,647208","0,532388","0,258814","0,236513","3,048546","5,3514","4,455338","1,049956","0,207468","1,87756","3,158966","1,653114","1,162332","0,588595","21,803444","6,566618","2,60849","0,860666","0,650737"
1,"4,875","19,907232","7,352141","2,343771","1,235724","0,539944","1,079926","1,571093","0,714909","0,211398","0,245564","4,0844","4,422734","4,144466","0,93386","0,200061","3,211632","3,158305","2,263727","1,162124","0,64406","16,229189","4,627991","3,195749","0,996753","0,580463"
1,5,"11,663625","4,417815","2,908291","1,353233","0,471597","1,09083","1,562762","0,943895","0,188189","0,257424","5,538774","3,701649","3,895556","0,826","0,189645","4,96618","3,277562","2,874605","1,154422","0,676076","11,149522","3,508282","3,739437","1,122332","0,529697"
1,"5,125","6,213765","2,877736","3,448858","1,398456","0,412948","1,105267","1,621243","1,172368","0,185964","0,272535","6,881359","3,276914","3,750327","0,741093","0,175483","6,634637","3,454268","3,360452","1,131576","0,676857","7,693823","3,378691","4,115968","1,190324","0,498855"
1,"5,25","3,846859","2,544823","3,812465","1,359418","0,368827","1,124575","1,692461","1,335388","0,197347","0,28886","7,595707","3,195455","3,708846","0,687728","0,160925","7,637829","3,581697","3,64178","1,080553","0,650761","6,001565","4,044659","4,202098","1,173498","0,478775"
1,"5,375","3,180968","2,82699","3,903734","1,249515","0,346124","1,145938","1,701793","1,376677","0,217977","0,30437","7,469192","3,364982","3,745382","0,666385","0,151499","7,803183","3,600802","3,740656","0,998632","0,614741","5,234143","5,048251","3,952534","1,075473","0,461243"
1,"5,5","3,283315","3,110067","3,768428","1,099566","0,349757","1,160414","1,603518","1,291118","0,249348","0,317765","6,643539","3,582768","3,802726","0,674117","0,153297","7,205621","3,519206","3,752061","0,910431","0,593756","4,841079","5,906981","3,468719","0,927373","0,444265"
1,"5,625","3,689209","3,16204","3,57251","0,949264","0,376123","1,169124","1,410598","1,131554","0,293775","0,328757","5,4573","3,663077","3,834069","0,71213","0,171291","6,229141","3,380111","3,776291","0,85992","0,607645","4,738462","6,380266","2,949437","0,770559","0,429533"
1,"5,75","4,679225","2,994821","3,465908","0,828051","0,41327","1,180435","1,192139","0,974364","0,3479","0,336334","4,294914","3,549941","3,792026","0,781065","0,205736","5,297809","3,254861","3,843089","0,882289","0,661866","5,157355","6,367943","2,56192","0,636092","0,4209"
1,"5,875","5,894929","2,681504","3,459249","0,739512","0,445435","1,185663","0,99913","0,871739","0,401262","0,338575","3,384614","3,289711","3,645405","0,866635","0,252079","4,694258","3,148977","3,882626","0,980569","0,74649","5,998768","5,874707","2,348605","0,535734","0,420925"
1,6,"7,182247","2,350123","3,449057","0,677207","0,46168","1,185038","0,850245","0,830477","0,441369","0,334536","2,813119","3,018417","3,408552","0,941368","0,302063","4,497492","3,005882","3,777536","1,121714","0,843516","6,613575","5,03091","2,231396","0,467583","0,430011"
1,"6,125","8,013658","2,102196","3,292141","0,635791","0,462554","1,190515","0,740595","0,823515","0,459011","0,325882","2,540611","2,899848","3,139389","0,975914","0,347357","4,680795","2,749964","3,450455","1,250467","0,930752","6,9671","4,032038","2,084771","0,426227","0,446595"
