sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,"4,5","5,424439","2,455284","3,767389","0,878641","0,385314","1,483937","1,280139","0,587976","0,863301","0,241353","3,315368","1,413522","1,079345","0,851452","0,224848","5,644356","2,335063","1,387642","0,958255","0,31953","3,764307","3,939881","2,539521","0,588507","0,314391"
1,"4,625","6,465194","2,178466","3,169849","0,788145","0,384076","1,558787","1,122154","0,523219","0,800888","0,266774","3,177301","1,415184","1,14625","0,737681","0,248901","4,836231","2,380414","1,205678","0,960893","0,318849","4,376949","3,531137","1,924298","0,507853","0,33835"
1,"4,75","10,347156","2,424536","2,541478","0,709105","0,38567","1,747975","0,954522","0,435348","0,774209","0,292229","3,093382","1,48846","1,412847","0,613065","0,275938","4,060742","2,45428","1,081458","0,972741","0,344121","6,251548","3,715658","1,392432","0,470239","0,35401"
1,"4,875","17,741074","3,338943","2,07356","0,66812","0,39113","1,991118","0,826159","0,349962","0,790143","0,312763","3,162852","1,593236","1,744705","0,505199","0,296554","3,510376","2,582766","1,022787","0,995161","0,395492","9,906367","4,622972","1,098119","0,491808","0,358755"
1,5,"27,686811","4,775022","1,845124","0,67765","0,400296","2,223553","0,763387","0,28173","0,832944","0,326231","3,439892","1,661713","1,99952","0,429389","0,306462","3,283184","2,747902","1,01823","1,021069","0,466183","14,984968","6,039506","1,069446","0,577521","0,355456"
1,"5,125","37,654449","6,329419","1,80268","0,736643","0,409962","2,40395","0,786835","0,234527","0,870396","0,333004","3,908969","1,644912","2,080147","0,387037","0,306246","3,434915","2,948762","1,039923","1,036229","0,544156","20,362118","7,54769","1,216012","0,71694","0,349353"
1,"5,25","44,472702","7,495189","1,836116","0,833851","0,415729","2,544879","0,897505","0,211805","0,87106","0,334336","4,49368","1,535893","1,96969","0,370678","0,299431","3,993281","3,206671","1,069318","1,027379","0,615128","24,506802","8,669191","1,430043","0,881939","0,345832"
1,"5,375","45,680153","7,929336","1,877326","0,948622","0,415047","2,649503","1,057963","0,227997","0,82089","0,331884","5,053404","1,374284","1,720652","0,373533","0,289073","4,931575","3,527751","1,096222","0,992308","0,664673","25,963923","9,054852","1,661794","1,030634","0,348742"
1,"5,5","41,030464","7,617321","1,907884","1,052842","0,406614","2,730849","1,209559","0,297026","0,726662","0,326082","5,489881","1,224057","1,429458","0,390887","0,275614","6,074957","3,838457","1,102953","0,943368","0,682501","24,374445","8,624413","1,895249","1,120718","0,356747"
1,"5,625","32,022701","6,793776","1,928138","1,112891","0,391276","2,728778","1,300264","0,418976","0,607748","0,316033","5,662148","1,135178","1,184734","0,414985","0,258416","7,070131","4,019606","1,075772","0,90227","0,667598","20,32692","7,558305","2,101626","1,12363","0,365376"
1,"5,75","21,57056","5,822542","1,936444","1,101812","0,370786","2,598752","1,312704","0,563987","0,48569","0,302936","5,503092","1,134305","1,043168","0,435105","0,239477","7,537032","3,970316","1,028992","0,891323","0,631017","15,186626","6,257248","2,238594","1,036813","0,370764"
1,"5,875","12,41995","5,006335","1,928162","1,01418","0,348431","2,304363","1,269891","0,689683","0,379111","0,292439","5,054432","1,278944","1,020046","0,444192","0,225623","7,295068","3,685414","1,015571","0,92097","0,599312","10,400129","5,133118","2,263853","0,887219","0,37357"
1,6,"6,342177","4,46608","1,890014","0,868511","0,326894","1,909202","1,216814","0,763564","0,299001","0,292013","4,481431","1,682796","1,062966","0,44139","0,224028","6,469946","3,274907","1,121001","0,97914","0,605674","7,068059","4,441251","2,18543","0,719498","0,375651"
1,"6,125","3,722473","4,158333","1,809465","0,698486","0,307387","1,507252","1,19222","0,782044","0,249362","0,307837","3,919074","2,460181","1,103019","0,428587","0,238272","5,368845","2,912783","1,393015","1,039976","0,6707","5,643473","4,222106","2,064696","0,575913","0,37695"
1,"6,25","3,111444","3,973019","1,704965","0,543914","0,29027","1,194888","1,207559","0,764068","0,228","0,341507","3,423866","3,598935","1,115649","0,408644","0,26564","4,373274","2,771221","1,812566","1,076451","0,788987","5,530584","4,325758","1,992509","0,480876","0,374351"
1,"6,375","3,41129","3,961854","1,625572","0,439759","0,275888","1,02293","1,24","0,729242","0,226558","0,387531","3,018656","4,887283","1,089726","0,386469","0,298037","3,752703","2,898802","2,251937","1,07685","0,929758","6,031343","4,647497","1,995592","0,435178","0,364467"
1,"6,5","4,564221","4,367988","1,605426","0,397521","0,266827","0,976291","1,255393","0,688257","0,238102","0,4342","2,724392","6,055384","1,003885","0,36136","0,325448","3,530137","3,284325","2,551332","1,052116","1,049823","6,989917","5,206265","2,053594","0,428474","0,349493"
1,"6,625","7,19552","5,345013","1,658602","0,42255","0,270191","0,993179","1,255727","0,654908","0,271303","0,470929","2,578944","6,992257","0,881263","0,338795","0,341799","3,561213","4,017141","2,614904","1,055372","1,115044","8,71519","6,019446","2,127871","0,4709","0,339122"
1,"6,75","11,694104","6,784627","1,803024","0,527232","0,297913","1,007622","1,271811","0,642801","0,354286","0,494487","2,665991","7,74992","0,76403","0,337298","0,347943","3,807907","5,179948","2,44278","1,191174","1,12194","11,423323","7,013901","2,169718","0,608849","0,349741"
1,"6,875","17,796911","8,430946","2,073539","0,716623","0,357908","0,983853","1,341415","0,672532","0,515731","0,516482","2,978078","8,464692","0,686861","0,389375","0,3514","4,637683","6,662047","2,16535","1,577151","1,101389","15,035872","8,12971","2,183444","0,884156","0,394163"
1,7,"24,078445","9,947204","2,511449","0,976419","0,446535","0,957321","1,483589","0,760271","0,76742","0,580256","3,435317","9,237187","0,682974","0,525786","0,364066","6,792332","8,157787","1,97051","2,252365","1,096769","18,794205","9,265417","2,247299","1,292123","0,474684"
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"0,125","7,411051","6,488016","1,325725","1,794008","0,527599","1,199448","2,400138","1,272244","0,499903","0,120326","4,17716","40,743839","2,437035","1,47454","0,301713","2,438002","9,26502","2,015228","1,154157","0,223016","3,138294","9,071091","1,698213","1,289988","0,46864"
2,"0,25","8,444545","6,250056","1,492016","1,915329","0,610609","1,386671","1,69192","1,311563","0,532466","0,11669","4,689538","43,962379","2,783658","1,531968","0,291724","2,467524","9,598176","1,965242","1,169252","0,224457","2,713472","9,57863","1,985059","1,478717","0,545663"
2,"0,375","9,476905","5,93451","1,604213","1,9091","0,691522","1,553598","1,293949","1,36977","0,571024","0,111041","4,829326","44,620258","3,303568","1,603724","0,278419","2,44302","9,247342","1,84219","1,138722","0,224738","2,738744","9,393887","2,260598","1,603768","0,606842"
2,"0,5","10,096975","5,419125","1,625432","1,773032","0,736319","1,612618","1,120502","1,464655","0,616866","0,102864","4,657385","43,062271","3,970398","1,663093","0,270878","2,311713","8,442313","1,651378","1,083745","0,223349","2,936336","8,470588","2,432128","1,634237","0,627869"
2,"0,625","10,220203","4,770893","1,567285","1,565511","0,723268","1,52733","1,029206","1,588325","0,667212","0,095441","4,404112","41,19886","4,667483","1,691677","0,274632","2,122657","7,606647","1,440199","1,035333","0,221389","3,482808","7,039018","2,461341","1,576475","0,601471"
2,"0,75","9,868702","4,246545","1,498631","1,375078","0,655266","1,310825","0,934116","1,704345","0,722073","0,093303","4,283967","41,200653","5,202332","1,690888","0,290211","2,030823","7,15702","1,293655","1,019985","0,220254","4,360609","5,589379","2,406134","1,472571","0,53846"
2,"0,875","9,474573","4,170037","1,497181","1,273662","0,556554","1,046238","0,838849","1,770365","0,780932","0,100443","4,451066","44,010044","5,397612","1,663503","0,312144","2,216975","7,278178","1,28451","1,044189","0,222711","5,674151","4,65301","2,380508","1,376254","0,463919"
2,1,"9,530243","4,761652","1,57398","1,282335","0,460178","0,806432","0,822469","1,74949","0,834442","0,118546","4,927313","48,652058","5,210193","1,623095","0,331185","2,72968","7,842074","1,414854","1,090374","0,232583","7,232375","4,56113","2,430907","1,323163","0,4075"
2,"1,125","10,223664","6,018939","1,676723","1,364879","0,392902","0,681519","0,957003","1,621238","0,868803","0,145517","5,541941","52,710472","4,749723","1,583136","0,341422","3,43609","8,494906","1,592936","1,127403","0,251593","8,611824","5,309117","2,520609","1,327597","0,391028"
2,"1,25","11,30411","7,717024","1,721032","1,443125","0,36528","0,74477","1,287344","1,40983","0,873391","0,176281","6,077328","53,701679","4,217649","1,556566","0,345214","4,046377","8,868033","1,692397","1,122181","0,277589","9,4044","6,628534","2,534184","1,371324","0,418676"
2,"1,375","12,279231","9,420223","1,655915","1,452186","0,371718","1,137643","1,794151","1,174112","0,839929","0,204044","6,307687","50,346729","3,844791","1,548509","0,349362","4,311249","8,742929","1,638358","1,060171","0,303564","9,376057","8,060434","2,364935","1,423134","0,474106"
2,"1,5","12,654435","10,677437","1,473925","1,371313","0,399001","1,978184","2,385471","0,977586","0,772172","0,222986","6,232908","43,0084","3,764371","1,546324","0,359866","4,034686","8,141749","1,437265","0,95123","0,320681","8,619302","9,168487","1,986545","1,449495","0,53012"
2,"1,625","12,306716","11,152864","1,20634","1,249182","0,433503","3,23932","2,919585","0,853896","0,68368","0,228996","6,10706","33,403793","3,93763","1,542035","0,375131","3,355236","7,205023","1,151418","0,818083","0,322837","7,517205","9,646056","1,472925","1,441498","0,560993"
2,"1,75","11,390088","10,841747","0,94439","1,184362","0,468581","4,722112","3,260472","0,823262","0,598396","0,221675","6,155733","23,692921","4,204131","1,511798","0,387767","2,44805","6,082551","0,864462","0,692704","0,310786","6,434847","9,429418","0,97577","1,426782","0,555009"
2,"1,875","10,131598","10,015092","0,873568","1,270037","0,50374","6,073836","3,341797","0,920154","0,54273","0,204562","6,479543","15,581743","4,383918","1,428818","0,38967","1,700749","4,968759","0,667871","0,604198","0,290117","5,813112","8,755935","0,745386","1,456036","0,513703"
2,2,"9,210127","9,031437","1,170099","1,530405","0,540493","6,964872","3,175256","1,175611","0,531047","0,184093","7,007135","9,842563","4,41286","1,295453","0,376807","1,355231","4,043606","0,625275","0,566041","0,269977","5,602063","7,976886","1,017255","1,562659","0,453471"
2,"2,125","9,100654","8,12487","1,873578","1,890538","0,578274","7,145711","2,835447","1,583476","0,552991","0,166311","7,615576","6,313804","4,316431","1,141407","0,349824","1,555351","3,408018","0,7477","0,570144","0,25896","5,749338","7,321102","1,848262","1,730604","0,398448"
2,"2,25","10,008754","7,389648","2,846166","2,208279","0,613614","6,623447","2,422935","2,063907","0,57771","0,155413","8,215456","4,400436","4,174695","1,023274","0,315602","2,153237","3,09859","0,994745","0,59213","0,260248","6,006557","6,806753","3,045618","1,892081","0,367407"
2,"2,375","11,586241","6,815422","3,799689","2,346391","0,641141","5,692258","2,033304","2,476697","0,575575","0,154351","9,328642","3,638789","4,100195","1,004177","0,283604","3,085642","3,07533","1,311745","0,603404","0,271379","7,019143","6,289046","4,230018","1,961324","0,367949"
2,"2,5","13,281823","6,332634","4,405435","2,242764","0,656844","4,560119","1,734057","2,684859","0,53544","0,164209","10,551971","3,739196","4,121116","1,120842","0,262137","4,025344","3,175227","1,653316","0,593208","0,286118","8,727705","5,605607","5,006767","1,885716","0,394139"
2,"2,625","15,984975","5,822145","4,470407","1,937517","0,663099","3,635077","1,545766","2,607433","0,46806","0,184033","12,295622","4,388132","4,120548","1,367219","0,253034","4,820021","3,179236","1,973865","0,567211","0,299221","13,191794","4,696905","5,130833","1,668066","0,433723"
2,"2,75","18,489904","5,37022","3,98451","1,534798","0,665451","2,922686","1,466567","2,259203","0,395546","0,209974","13,986282","5,304729","3,958345","1,679653","0,254248","5,134954","2,962286","2,225229","0,536688","0,31263","18,666004","3,710889","4,584159","1,362614","0,474359"
2,"2,875","22,364904","5,049932","3,169673","1,171254","0,666242","2,516675","1,480762","1,747395","0,342145","0,236028","15,746234","6,175852","3,615388","1,962111","0,262721","5,022148","2,57019","2,395017","0,527302","0,332666","25,701099","2,895126","3,61893","1,070176","0,507601"
2,3,"25,317816","4,926887","2,343481","0,941811","0,660287","2,220763","1,540434","1,224931","0,321955","0,254728","16,649946","6,641143","3,184135","2,121767","0,275638","4,491523","2,126748","2,485086","0,55974","0,361851","30,717854","2,445646","2,605392","0,876426","0,52532"
2,"3,125","27,233307","4,966473","1,757123","0,862956","0,639187","1,958177","1,59255","0,822133","0,333603","0,259535","16,412218","6,479351","2,750259","2,092118","0,289729","3,73604","1,806956","2,502327","0,634566","0,395164","32,626099","2,385665","1,840857","0,809291","0,521953"
2,"3,25","26,637663","5,019517","1,484313","0,883075","0,597561","1,653795","1,594478","0,585824","0,366202","0,248309","14,791031","5,663979","2,336957","1,859265","0,299225","2,991455","1,733673","2,448509","0,73533","0,421796","30,129944","2,555784","1,433566","0,836535","0,496241"
2,"3,375","23,467384","4,922361","1,431984","0,924095","0,53717","1,372126","1,522354","0,476912","0,406045","0,225319","12,205769","4,433079","1,938913","1,479481","0,297704","2,38467","1,912551","2,321549","0,835934","0,431143","24,083754","2,768914","1,30298","0,894395","0,452935"
2,"3,5","18,389328","4,573402","1,443055","0,935048","0,469005","1,132082","1,380347","0,431396","0,43986","0,199463","9,194988","3,140039","1,55668","1,060147","0,281766","1,946743","2,237272","2,128736","0,909934","0,41829","16,379263","2,90854","1,284987","0,926567","0,401973"
2,"3,625","12,78739","3,992555","1,448915","0,91015","0,41137","0,976349","1,19584","0,40785","0,454836","0,180133","6,396386","2,11617","1,247557","0,711098","0,253309","1,631232","2,541512","1,907825","0,940147","0,387482","9,296626","2,97934","1,29762","0,908194","0,35537"
