sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,4,"7,922727","3,919482","1,257189","1,871979","0,749207","2,060802","1,830089","0,735455","0,330751","0,344406","3,323142","7,762292","1,828097","0,662318","0,493895","5,227392","3,091945","1,04676","1,26756","1,123603","9,356914","3,541159","1,206767","1,175304","0,539797"
1,"4,125","8,476903","3,984975","1,322244","1,815205","0,737765","2,197047","1,93717","0,673037","0,308525","0,335954","3,863124","6,374743","1,188552","0,720427","0,501862","5,003088","3,280283","0,973648","1,407697","1,196201","9,184381","4,206482","1,385876","1,197732","0,562347"
1,"4,25","8,338823","4,144404","1,430006","1,698987","0,749236","2,277255","1,950974","0,598691","0,287746","0,327188","4,432436","5,38623","0,808087","0,759805","0,487698","4,720032","3,428763","0,980308","1,608454","1,291399","8,493499","4,95259","1,676348","1,218223","0,577987"
1,"4,375","7,8689","4,296121","1,566418","1,566081","0,781644","2,312008","1,867173","0,537775","0,26656","0,326436","4,929586","5,021831","0,63621","0,761798","0,459012","4,652765","3,542516","1,018685","1,776698","1,403769","7,590473","5,538836","2,048385","1,250657","0,586505"
1,"4,5","7,134297","4,297055","1,687285","1,444358","0,82408","2,295719","1,702799","0,504734","0,245772","0,341296","5,22769","5,311722","0,569429","0,731003","0,426616","4,706609","3,606318","1,039799","1,85732","1,514884","6,750136","5,743305","2,39649","1,291741","0,591796"
1,"4,625","6,305261","4,096562","1,728122","1,337489","0,863138","2,220572","1,480677","0,494054","0,233819","0,373117","5,219202","6,279488","0,546909","0,701738","0,400841","4,941095","3,598527","1,010878","1,842726","1,606204","6,131319","5,495973","2,588292","1,325539","0,598511"
1,"4,75","5,816083","3,800997","1,65698","1,248434","0,886245","2,129009","1,230561","0,49031","0,244272","0,415282","4,88341","8,136353","0,588082","0,72496","0,38814","5,258331","3,503247","0,934214","1,768621","1,667478","5,791531","4,914661","2,528355","1,348022","0,607333"
1,"4,875","5,832849","3,610186","1,491184","1,183732","0,883857","2,097672","1,010509","0,490757","0,288176","0,455369","4,399318","11,277111","0,705586","0,835498","0,388439","5,740044","3,403038","0,883167","1,691881","1,699691","5,531548","4,295537","2,22239","1,368731","0,615223"
1,5,"6,463649","3,624233","1,286088","1,149971","0,854527","2,216701","0,865812","0,517832","0,367721","0,4814","3,960663","15,867591","0,849191","1,03473","0,396129","6,430286","3,395099","0,950038","1,659904","1,71603","5,377003","3,946136","1,776605","1,407007","0,616865"
1,"5,125","7,518331","3,812179","1,110829","1,142511","0,806448","2,515186","0,812221","0,610321","0,470342","0,48855","3,767836","21,601961","0,981682","1,287719","0,403527","7,26545","3,519225","1,203654","1,687069","1,731141","5,31688","4,035779","1,346737","1,482529","0,608811"
1,"5,25","8,373789","4,042028","1,00321","1,145961","0,750864","2,925535","0,834272","0,791614","0,57191","0,479353","3,98653","27,60508","1,073554","1,535281","0,403012","7,969219","3,734718","1,617701","1,759011","1,746508","5,329715","4,527992","1,056659","1,598407","0,593404"
1,"5,375","8,715835","4,152172","0,960577","1,140483","0,695259","3,288174","0,884375","1,027194","0,649819","0,460358","4,651539","32,547413","1,094458","1,71911","0,388822","8,213577","3,929825","2,076365","1,84562","1,755468","5,213147","5,167268","0,932744","1,726368","0,577336"
1,"5,5","8,108378","4,031041","0,94527","1,123684","0,642757","3,438457","0,906","1,243998","0,690027","0,438019","5,614631","35,107441","1,046436","1,799507","0,359922","7,782807","3,974308","2,436033","1,921406","1,753961","4,855942","5,635921","0,923935","1,829335","0,568433"
1,"5,625","6,891712","3,682231","0,924357","1,116717","0,595411","3,291661","0,868102","1,360684","0,691385","0,41674","6,598797","34,479347","0,974381","1,766175","0,322771","6,743191","3,783715","2,582597","1,972643","1,75348","4,297468","5,709786","0,978787","1,87704","0,570086"
1,"5,75","5,638193","3,204254","0,911042","1,146747","0,555775","2,875296","0,794059","1,321724","0,664398","0,398127","7,260974","30,701725","0,922388","1,634279","0,288022","5,370026","3,37451","2,489212","1,987067","1,773804","3,939035","5,352744","1,104648","1,860455","0,579213"
1,"5,875","5,089868","2,732301","0,918165","1,223876","0,530039","2,317668","0,725964","1,133986","0,625105","0,382591","7,374295","24,679996","0,905493","1,436488","0,263489","4,1341","2,851007","2,216439","1,947346","1,818627","4,216896","4,701655","1,302782","1,795921","0,588502"
1,6,"5,683106","2,384411","0,959204","1,335315","0,523891","1,782956","0,694883","0,875211","0,585482","0,370708","6,926902","17,801161","0,920862","1,207849","0,250878","3,419152","2,335191","1,891658","1,844345","1,861978","5,399082","3,952132","1,563668","1,711621","0,588167"
1,"6,125","7,381968","2,194255","1,041162","1,455854","0,539043","1,38217","0,719703","0,644857","0,550062","0,365156","6,138864","11,429582","0,972315","0,979976","0,248339","3,390791","1,936201","1,643247","1,694448","1,86262","7,517408","3,2662","1,848991","1,631818","0,571297"
1,"6,25","10,194542","2,161586","1,159634","1,559388","0,573586","1,156865","0,799387","0,510939","0,518191","0,370947","5,269067","6,504212","1,073638","0,777876","0,253911","3,929433","1,724919","1,540436","1,549009","1,790912","10,278959","2,731962","2,115612","1,568687","0,539019"
1,"6,375","12,77383","2,326913","1,333373","1,631439","0,624581","1,083376","0,912755","0,485705","0,48767","0,392423","4,649084","3,391627","1,191746","0,621764","0,266549","4,821587","1,79824","1,56977","1,469498","1,654456","13,031302","2,408852","2,332717","1,52103","0,50022"
1,"6,5","15,052081","2,760134","1,539742","1,670206","0,685421","1,120557","1,031361","0,53359","0,460425","0,428027","4,581889","2,076969","1,26326","0,534219","0,285418","5,89238","2,272184","1,663458","1,496137","1,49739","15,292205","2,329935","2,476234","1,485146","0,46501"
1,"6,625","15,885498","3,434845","1,74871","1,68151","0,744888","1,236931","1,118285","0,604579","0,446383","0,468871","5,081363","2,342463","1,245808","0,524281","0,309294","7,016915","3,167241","1,742206","1,619567","1,376238","16,406967","2,476348","2,520872","1,45947","0,438521"
1,"6,75","15,771805","4,25654","1,923086","1,663575","0,791614","1,401484","1,164168","0,674998","0,463152","0,504887","5,883769","3,829315","1,132606","0,576161","0,33709","7,951749","4,375868","1,76798","1,785344","1,330966","16,239239","2,841098","2,479387","1,456198","0,42391"
1,"6,875","14,153275","5,09002","2,009296","1,603875","0,819011","1,578457","1,177936","0,74749","0,530666","0,530586","6,706142","6,093349","0,948725","0,65986","0,367467","8,512446","5,618645","1,748939","1,9181","1,366049","14,759884","3,460796","2,379671","1,490226","0,425684"
1,7,"11,648746","5,762123","1,979293","1,497866","0,828211","1,733344","1,170836","0,839006","0,657324","0,546496","7,433248","8,671674","0,768746","0,742016","0,399527","8,54757","6,552839","1,708916","1,957626","1,443904","12,376504","4,308609","2,255434","1,574051","0,446245"
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"0,125","3,608505","3,51612","2,439775","1,788911","0,576055","1,875483","1,869976","1,143679","0,371587","0,617871","1,962784","14,013801","2,68635","0,931792","0,577767","4,814624","2,619481","1,281904","0,699692","0,918608","4,313541","4,109803","2,851905","1,465842","0,774574"
2,"0,25","3,822752","2,985207","1,904152","1,423998","0,569669","2,289507","1,816568","1,313455","0,301615","0,526863","2,098933","10,302794","2,70756","0,869142","0,502632","6,28696","2,274605","1,366895","0,554313","0,776915","5,928566","3,585965","2,22418","1,146678","0,767292"
2,"0,375","4,36965","2,336223","1,516181","1,128556","0,560862","2,69171","1,832376","1,463323","0,277252","0,451503","2,564626","9,422246","2,729085","0,842388","0,445624","7,808079","2,066026","1,616697","0,440548","0,677113","8,094255","2,890626","1,901267","0,89999","0,751323"
